short_name,position,overall,wage_eur,age,height_cm,weight_kg,club_name,nationality_name
I. Lawlor,GoalKeeper,61,1000.0,26,193,80,Dundee FC,Republic of Ireland
G. Benavídez,Defense,65,3000.0,25,175,71,Arsenal de Sarandí,Argentina
Óscar,Midfield,75,21000.0,23,174,68,Sevilla FC,Spain
B. Bolla,Defense,64,10000.0,21,180,72,Grasshopper Club Zürich,Hungary
M. Kjaergaard,Midfield,62,2000.0,18,189,70,FC Red Bull Salzburg,Denmark
Adílio Santos,Offense,66,3000.0,27,178,72,FC Arouca,Brazil
M. D'Arpino,Defense,72,9000.0,25,176,68,KV Oostende,France
M. Macey,GoalKeeper,66,2000.0,26,198,93,Hibernian,England
J. Luamba,Offense,54,900.0,18,183,66,Oldham Athletic,Congo DR
S. Spasov,Offense,52,1000.0,19,171,56,Oxford United,Bulgaria
K. Glik,Defense,73,14000.0,33,190,80,Benevento,Poland
K. Gameiro,Offense,77,27000.0,34,172,70,RC Strasbourg Alsace,France
L. Loughlan,Midfield,52,2000.0,19,175,60,Salford City,England
M. Mittelstädt,Defense,74,28000.0,24,180,71,Hertha BSC,Germany
P. Erhardt,Defense,64,2000.0,27,185,69,TSV Egger Glas Hartberg,Austria
M. Burch,Defense,65,3000.0,20,182,74,FC Luzern,Switzerland
Jeffmeirson,Defense,73,14000.0,29,179,77,RB Bragantino,Brazil
H. Friðjónsson,Offense,67,9000.0,28,195,85,Holstein Kiel,Iceland
Pierrino Faria,GoalKeeper,76,13000.0,37,190,82,Santos,Brazil
D. De Silva,Midfield,67,2000.0,24,170,60,Macarthur FC,Australia
B. Cargill,Defense,64,4000.0,25,189,87,Forest Green Rovers,England
L. Buades,Midfield,61,900.0,23,180,75,Rodez Aveyron Football,France
R. McGree,Midfield,70,11000.0,22,178,72,Birmingham City,Australia
J. Silva,Defense,74,21000.0,27,179,72,Getafe CF,Argentina
A. Bobichon,Midfield,71,14000.0,25,178,75,Angers SCO,France
E. Ávila,Midfield,79,36000.0,27,172,81,CA Osasuna,Argentina
R. Ivanov,Defense,67,2000.0,26,197,85,Warta Poznań,Finland
T. Hamer,Defense,65,1000.0,21,188,80,Burton Albion,England
M. van Bergen,Offense,73,17000.0,21,170,62,Stade de Reims,Netherlands
M. Bondswell,Defense,59,3000.0,19,183,77,Newcastle United,England
Rubén Pardo,Defense,72,10000.0,28,181,69,CD Leganés,Spain
L. Rémy,Offense,74,15000.0,34,185,82,Çaykur Rizespor,France
B. Hjertstrand,Defense,61,1000.0,27,180,77,Örebro SK,Sweden
S. Lynch,Defense,51,500.0,21,170,65,Sligo Rovers,Republic of Ireland
G. Laborde,Midfield,80,59000.0,27,181,78,Stade Rennais FC,France
R. Zobnin,Midfield,78,51000.0,27,182,78,Spartak Moskva,Russia
R. Sottil,Offense,70,24000.0,22,180,75,Fiorentina,Italy
Q. Bernard,Defense,71,5000.0,31,184,83,AJ Auxerre,France
S. Alakouch,Defense,73,12000.0,22,175,66,FC Metz,France
Dênildo Stein,Offense,75,12000.0,37,180,71,Ceará Sporting Club,Brazil
M. Bradley,Defense,72,6000.0,33,188,79,Toronto FC,United States
J. Haberer,Midfield,73,22000.0,27,186,78,Sport-Club Freiburg,Germany
L. McAlinden,Offense,59,500.0,27,186,74,Wrexham AFC,Republic of Ireland
J. Célestine,Defense,63,1000.0,23,191,83,Rodez Aveyron Football,France
D. Chávez,Defense,67,500.0,28,179,80,Club Universitario de Deportes,Peru
S. Szota,Defense,62,1000.0,22,186,80,Wisła Kraków,Poland
Jeong Chi In,Offense,58,1000.0,23,182,71,Daegu FC,Korea Republic
J. Pollersbeck,GoalKeeper,71,25000.0,26,195,87,Olympique Lyonnais,Germany
C. Terán,Defense,60,900.0,20,187,85,Chicago Fire Football Club,Colombia
Manu Morlanes,Defense,73,19000.0,22,178,75,RCD Espanyol de Barcelona,Spain
A. Zedadka,Defense,73,15000.0,26,173,72,Clermont Foot 63,France
S. Sasaki,Defense,71,7000.0,31,176,70,Sanfrecce Hiroshima,Japan
J. Báez,Defense,72,850.0,30,180,83,Club Libertad,Paraguay
Kainho Selva,Defense,72,7000.0,21,183,79,Atlético Clube Goianiense,Brazil
D. Mosquera,Defense,69,2000.0,29,182,72,Club Independiente Santa Fe,Colombia
Kim Jin Su,Defense,70,19000.0,29,175,73,Jeonbuk Hyundai Motors,Korea Republic
A. Acevedo,Defense,50,500.0,19,184,73,Club Atlético Rentistas,Uruguay
M. Lazzari,Defense,81,64000.0,27,174,67,Lazio,Italy
Mateus Criciúma,Offense,58,2000.0,22,176,71,FC Botoşani,Brazil
A. Pešić,Offense,71,11000.0,29,190,87,Fatih Karagümrük S.K.,Serbia
Yang Fan,Defense,55,3000.0,25,185,72,Beijing Guoan FC,China PR
A. Tsilingiris,GoalKeeper,61,500.0,20,190,83,APOEL Nicosia FC,Greece
S. Butler,Defense,54,1000.0,18,185,74,Swansea City,Wales
Y. M'Vila,Defense,79,2000.0,31,182,80,Olympiacos CFP,France
Á. Mena,Midfield,78,28000.0,33,168,71,Club León,Ecuador
K. Al Ghamdi,Defense,67,10000.0,33,166,64,Al Shabab,Saudi Arabia
D. Mejía,Defense,58,500.0,18,163,58,Club Independiente Santa Fe,Colombia
M. Zajc,Midfield,73,35000.0,27,178,76,Fenerbahçe SK,Slovenia
R. Pröpper,Defense,68,4000.0,27,190,78,FC Twente,Netherlands
M. Alonso,Midfield,59,500.0,18,175,65,Club Atlético Peñarol,Uruguay
C. Doyle,Defense,64,500.0,17,185,85,Sunderland,England
A. Layouni,Offense,69,3000.0,28,191,80,Vålerenga Fotball,Tunisia
S. Ibeagha,Defense,64,2000.0,29,188,85,Los Angeles FC,United States
A. Öztürk,Defense,71,29000.0,27,186,89,Galatasaray SK,Turkey
M. Mevlja,Defense,74,13000.0,31,190,83,Aytemiz Alanyaspor,Slovenia
A. Peña,Defense,63,500.0,32,182,75,Montevideo City Torque,Uruguay
L. Kramer,Defense,63,2000.0,21,192,86,Viborg FF,Netherlands
R. Ogawa,Defense,69,5000.0,24,183,78,FC Tokyo,Japan
J. Rugel,Defense,60,500.0,20,188,78,Club Universitario de Deportes,Peru
F. Arce,Midfield,64,3000.0,24,184,78,Club Necaxa,United States
N. Ampomah,Offense,68,9000.0,25,176,68,Royal Antwerp FC,Ghana
O. Christensen,GoalKeeper,70,14000.0,22,190,82,Hertha BSC,Denmark
N. Backman,Defense,66,4000.0,32,187,80,Aarhus GF,Sweden
D. Scarr,Defense,64,3000.0,26,188,80,Plymouth Argyle,England
N. Mantl,GoalKeeper,70,7000.0,21,193,88,FC Red Bull Salzburg,Germany
M. Mawa,Offense,63,1000.0,24,185,73,Kristiansund BK,Norway
F. Caicedo,Offense,78,22000.0,32,183,82,Genoa,Ecuador
A. Rømer,Defense,69,3000.0,27,186,78,IF Elfsborg,Denmark
M. Mosquera,Defense,62,1000.0,20,187,79,Clube Sport Marítimo,Colombia
R. Zozulya,Offense,65,2000.0,31,180,75,CF Fuenlabrada,Ukraine
A Lan,Offense,77,27000.0,31,178,64,Guangzhou FC,China PR
O. Duarte,Offense,66,700.0,25,173,68,La Equidad,Colombia
Y. Fukuda,Midfield,64,3000.0,22,176,70,Gamba Osaka,Japan
C. Brown,Defense,65,2000.0,27,174,69,Brisbane Roar,Australia
A. Oliveros,Defense,69,6000.0,22,183,79,Club Necaxa,Uruguay
S. Aluko,Midfield,66,4000.0,32,173,62,Ipswich Town,Nigeria
O. Djoco,GoalKeeper,60,2000.0,23,188,90,Clermont Foot 63,France
Paulo Henrique,Defense,65,1000.0,24,182,76,Santa Clara,Portugal
P. Iacob,Defense,66,2000.0,25,185,80,AFC Chindia Târgoviște,Romania
C. Cáceda,GoalKeeper,72,500.0,29,185,78,FBC Melgar,Peru
H. Özkan,Defense,63,2000.0,23,178,70,Yeni Malatyaspor,Turkey
T. Chalobah,Defense,73,43000.0,21,191,84,Chelsea,England
A. Šporar,Offense,75,14000.0,27,186,82,Middlesbrough,Slovenia
A. Al Fahad,Defense,64,4000.0,27,176,73,Al Raed,Saudi Arabia
R. Coughlan,Offense,62,750.0,24,178,75,St. Patrick's Athletic,Republic of Ireland
A. Molinas,Midfield,65,3000.0,20,175,67,Boca Juniors,Argentina
M. Khan,GoalKeeper,48,500.0,19,187,80,Kerala Blasters FC,India
R. Cannon,Defense,73,10000.0,23,180,75,Boavista FC,United States
A. Ragusa,Offense,71,18000.0,31,183,77,Hellas Verona,Italy
M. Obafemi,Offense,68,10000.0,20,169,71,Swansea City,Republic of Ireland
L. Plogmann,GoalKeeper,64,1000.0,21,189,83,SV Werder Bremen,Germany
B. Pavard,Defense,79,64000.0,25,186,81,FC Bayern München,France
A. Hložek,Midfield,76,500.0,18,188,86,AC Sparta Praha,Czech Republic
U. Hünemeier,Defense,70,6000.0,35,189,85,SC Paderborn 07,Germany
J. Brooking,Defense,59,3000.0,18,185,70,Chelsea,England
N. Šipčić,Defense,68,4000.0,26,192,87,CD Tenerife,Serbia
T. Adarabioyo,Defense,74,35000.0,23,196,78,Fulham,England
M. Prietl,Defense,74,21000.0,29,187,79,DSC Arminia Bielefeld,Austria
K. Hachisuka,Defense,69,3000.0,30,180,76,Vegalta Sendai,Japan
L. Dubois,Defense,78,55000.0,26,178,65,Olympique Lyonnais,France
M. Comba,Midfield,69,8000.0,27,170,68,Newell's Old Boys,Argentina
Y. Bourhane,Defense,64,2000.0,22,184,74,Go Ahead Eagles,Comoros
Na Sung Eun,Midfield,58,950.0,25,174,70,Suwon FC,Korea Republic
M. Al Aqel,Midfield,55,3000.0,21,182,71,Al Tai,Saudi Arabia
E. Ferigra,Defense,60,1000.0,22,180,74,Unión Deportiva Las Palmas,Ecuador
H. Bjørdal,Midfield,68,2000.0,24,188,86,Vålerenga Fotball,Norway
Huang Zichang,Midfield,63,2000.0,24,173,67,Wuhan FC,China PR
Javi Hernández,Defense,70,6000.0,23,182,75,CD Leganés,Spain
A. Gomez Mancini,Midfield,60,4000.0,20,176,64,Burnley,France
M. Orihuela,Defense,66,4000.0,29,178,72,Atlético Tucumán,Argentina
J. Neufville,Offense,55,2000.0,21,183,74,Luton Town,England
J. Grey,Offense,55,900.0,18,176,73,Hartlepool United,England
T. Sechelmann,Defense,61,750.0,22,186,78,1. FC Magdeburg,Germany
C. Sapong,Midfield,70,6000.0,32,185,84,Nashville SC,United States
Álex Gallar,Midfield,72,10000.0,29,176,71,FC Cartagena,Spain
J. Amavi,Defense,77,34000.0,27,176,70,Olympique de Marseille,France
Luo Jing,Midfield,62,2000.0,27,181,76,Shijiazhuang Ever Bright F.C.,China PR
Yang Xu,Offense,64,4000.0,33,188,80,Shanghai Shenhua FC,China PR
P. Alvarado,Defense,68,1000.0,35,180,70,Club Deportivo Palestino,Argentina
E. Watt,Defense,64,3000.0,21,175,72,Bradford City,Scotland
Anderson Talisca,Offense,82,61000.0,27,190,80,Al Nassr,Brazil
D. McNamara,Defense,66,4000.0,22,174,72,Millwall,Republic of Ireland
M. Borgnino,Midfield,66,4000.0,23,176,70,Unión de Santa Fe,Argentina
Ismaily,Defense,80,1000.0,31,177,86,Shakhtar Donetsk,Brazil
R. Matsuda,Defense,69,5000.0,29,171,69,Cerezo Osaka,Japan
Mi Haolun,Defense,66,4000.0,28,176,68,Shenzhen FC,China PR
Zhang Yuan,Defense,57,2000.0,31,187,76,Shenzhen FC,China PR
W. Hoolahan,Midfield,66,2000.0,39,168,71,Cambridge United,Republic of Ireland
D. Nazarov,Midfield,68,5000.0,31,184,73,FC Erzgebirge Aue,Azerbaijan
J. Troisi,Midfield,65,3000.0,32,176,75,Western Sydney Wanderers,Australia
G. Perrin,Midfield,67,3000.0,25,169,63,AJ Auxerre,France
M. Rundić,Defense,62,2000.0,29,188,80,Raków Częstochowa,Serbia
L. Mancuso,Offense,72,35000.0,29,182,77,Empoli,Italy
B. Kutlu,Defense,70,24000.0,23,183,75,Galatasaray SK,Turkey
A. Brunst,GoalKeeper,66,3000.0,25,195,88,Vejle Boldklub,Germany
A. Medina,Midfield,67,13000.0,23,180,74,Club Necaxa,Mexico
V. Backman,Midfield,53,600.0,20,168,65,Kalmar FF,Sweden
Luis Paezinho,Defense,65,6000.0,25,182,75,Santos,Brazil
M. Valjent,Defense,74,19000.0,25,187,83,RCD Mallorca,Slovakia
H. Palacios,Defense,73,16000.0,28,181,76,Elche CF,Colombia
C. Ramsay,Defense,60,500.0,17,177,68,Aberdeen,Scotland
R. Gagliardini,Defense,77,73000.0,27,188,77,Inter,Italy
L. Rupp,Defense,73,28000.0,30,178,73,Norwich City,Germany
G. Buckley,Defense,61,500.0,27,185,75,Sligo Rovers,Republic of Ireland
F. Putros,Defense,63,2000.0,27,181,77,Viborg FF,Iraq
Kaimo Lima,Defense,74,18000.0,25,188,77,Fluminense,Brazil
D. Mandroiu,Midfield,64,1000.0,22,180,73,Shamrock Rovers,Republic of Ireland
M. Lowe,Defense,72,16000.0,24,175,74,Nottingham Forest,England
G. Arias,GoalKeeper,79,18000.0,33,188,82,Racing Club,Chile
D. Holmes,Offense,69,6000.0,26,168,65,Huddersfield Town,United States
R. Königsdörffer,Midfield,65,2000.0,19,182,76,SG Dynamo Dresden,Germany
R. Janssen,Defense,67,4000.0,31,179,80,Fortuna Sittard,Netherlands
Yuri Matias,Defense,64,2000.0,26,186,80,Gaz Metan Mediaş,Brazil
A. Zohouri,Defense,60,2000.0,20,176,69,FC Lausanne-Sport,Côte d'Ivoire
M. van der Hart,GoalKeeper,67,3000.0,27,188,87,Lech Poznań,Netherlands
Y. Djiga,Defense,55,600.0,18,187,80,FC Basel 1893,Burkina Faso
Adrián Ortolá,GoalKeeper,70,6000.0,27,187,74,Girona FC,Spain
M. Bakenga,Offense,68,3000.0,28,181,75,Tokushima Vortis,Norway
F. Müller,GoalKeeper,77,18000.0,23,190,88,VfB Stuttgart,Germany
A. El Messaoudi,Midfield,72,11000.0,25,184,83,Gazişehir Gaziantep F.K.,Morocco
A. Laurienté,Midfield,73,14000.0,22,171,59,FC Lorient,France
A. Burbano,Defense,59,500.0,27,172,66,Club Social y Deportivo Macará,Ecuador
I. Gaponov,Defense,65,10000.0,23,185,75,Spartak Moskva,Russia
R. Ache,Offense,68,10000.0,22,182,77,Eintracht Frankfurt,Germany
S. McKenna,Defense,70,20000.0,24,189,80,Nottingham Forest,Scotland
D. Zima,Defense,74,23000.0,20,190,80,Torino F.C.,Czech Republic
Manu Barreiro,Offense,68,4000.0,34,193,81,CD Lugo,Spain
N. Bruneel,Defense,63,1000.0,24,178,68,USL Dunkerque,France
A. Sosa,Defense,63,2000.0,21,177,76,Club Atlético Banfield,Argentina
D. Moldovan,GoalKeeper,63,1000.0,31,183,72,AFC Chindia Târgoviște,Romania
L. Karius,GoalKeeper,75,61000.0,28,189,87,Liverpool,Germany
M. Budziński,Defense,62,900.0,30,184,79,PGE FKS Stal Mielec,Poland
J. Price,Defense,72,6000.0,28,170,69,Colorado Rapids,England
N. Persson,Offense,52,500.0,17,180,74,Mjällby AIF,Sweden
Y. Cassubie,Defense,58,800.0,20,184,78,Chamois Niortais Football Club,France
L. Díaz,Midfield,80,16000.0,24,180,73,FC Porto,Colombia
F. Tongya,Midfield,60,3000.0,19,181,75,Olympique de Marseille,Italy
B. Cejas,Midfield,63,500.0,23,175,70,Montevideo City Torque,Argentina
K. Kostorz,Midfield,57,1000.0,21,187,79,Legia Warszawa,Poland
G. De Amores,GoalKeeper,63,500.0,26,186,76,Deportivo Cali,Uruguay
Félix Alonso,Defense,62,1000.0,20,185,76,CD Tenerife,Spain
L. Grimshaw,Defense,63,2000.0,26,180,83,Motherwell,England
N. Machado,Offense,54,500.0,24,186,81,Centro Atlético Fénix,Uruguay
C. Togashi,Offense,64,2000.0,27,178,75,Vegalta Sendai,Japan
Ygor Nogueira,Defense,70,7000.0,26,186,86,Mazatlán Futbol Club,Brazil
M. Tirpan,Defense,71,8000.0,27,177,74,Fortuna Sittard,Belgium
Barragán,Defense,73,15000.0,34,183,76,Elche CF,Spain
L. Ivanovic,Offense,57,900.0,21,189,80,Brisbane Roar,Australia
M. Kvesić,Midfield,65,2000.0,29,175,70,Pohang Steelers,Bosnia and Herzegovina
L. Cundle,Midfield,54,6000.0,19,170,62,Wolverhampton Wanderers,England
F. Yıldırım,Defense,60,2000.0,25,175,67,Kasimpaşa SK,Turkey
