position,overall,wage_eur,age,height_cm,weight_kg,club_name,nationality_name
GoalKeeper,73,8237.0,24,193,75,Inter,Croatia
Defense,66,684.0,30,173,85,Western United FC,Tunisia
Midfield,70,4073.0,25,183,72,Atlético de Madrid,Republic of Ireland
Offense,64,3813.0,31,186,72,Sporting Kansas City,Romania
Defense,66,4475.0,33,182,80,SK Austria Klagenfurt,Liberia
GoalKeeper,52,500.0,29,186,75,CFR Cluj,Liberia
Midfield,55,1141.0,20,176,64,RB Leipzig,China PR
Offense,65,964.0,29,182,65,Piast Gliwice,Poland
Offense,78,1270.0,20,170,75,AS Saint-Étienne,Spain
Defense,73,1600.0,34,187,73,FC Schalke 04,Argentina
Defense,70,13028.0,31,190,83,Racing Club de Lens,Belgium
Defense,77,11072.0,28,181,74,AS Saint-Étienne,Spain
Defense,74,22613.0,25,191,75,Estoril Praia,United States
Defense,62,41166.0,31,187,83,Boca Juniors,Argentina
GoalKeeper,63,860.0,24,188,83,IK Sirius,Croatia
Defense,74,1769.0,25,187,73,Real Sociedad B,Morocco
Midfield,65,3539.0,28,169,75,Academia Puerto Cabello,North Macedonia
Defense,64,11580.0,27,176,76,Beşiktaş JK,Israel
Defense,64,1495.0,24,183,74,APOEL Nicosia FC,New Zealand
Offense,63,907.0,20,186,78,Sporting Kansas City,Italy
Midfield,53,500.0,22,183,74,Club Cerro Porteño,Norway
Defense,64,1214.0,26,183,66,Everton,Croatia
GoalKeeper,62,1296.0,24,183,81,Atlético de Madrid,Denmark
Defense,78,903.0,28,182,74,AS Saint-Étienne,Ghana
Offense,64,500.0,22,184,81,Sporting Kansas City,Poland
Defense,75,18973.0,29,186,69,Atlético Nacional,Brazil
Offense,55,623.0,23,188,76,Boca Juniors,United Arab Emirates
Midfield,67,1181.0,31,176,76,Vålerenga Fotball,Montserrat
Midfield,55,7209.0,26,168,78,Club Tijuana,Israel
Midfield,70,42846.0,29,178,73,KV Mechelen,Chad
Defense,72,954.0,19,169,79,Çaykur Rizespor,Argentina
Defense,62,1291.0,27,182,75,AFC Bournemouth,Poland
Midfield,70,3935.0,23,172,75,Club Cerro Porteño,England
Midfield,51,1500.0,23,178,73,Al Ain FC,Argentina
Defense,70,11382.0,28,184,73,Royale Union Saint-Gilloise,Faroe Islands
Defense,77,15965.0,31,183,73,AS Saint-Étienne,Cameroon
GoalKeeper,76,20773.0,29,189,77,Crawley Town,North Macedonia
Defense,49,500.0,19,178,74,Sydney FC,Israel
Defense,74,19684.0,20,185,75,Estudiantes de La Plata,Montserrat
Defense,51,500.0,33,181,79,Toronto FC,Romania
Midfield,65,879.0,19,172,69,AFC Wimbledon,Mexico
Offense,63,1428.0,35,182,74,Atlético Nacional,Saudi Arabia
Defense,66,2892.0,25,183,81,Borussia Mönchengladbach,Uruguay
Midfield,57,1702.0,29,184,64,Gil Vicente FC,Paraguay
Defense,66,18898.0,29,171,75,Pogoń Szczecin,Jamaica
Defense,77,1580.0,26,175,74,Guaireña FC,Cyprus
Defense,67,98882.0,33,189,79,St. Patrick's Athletic,Brazil
Offense,71,1218.0,19,182,73,Los Angeles FC,England
Midfield,61,1089.0,32,184,75,Sporting Kansas City,Korea Republic
Defense,66,12178.0,35,184,80,Djurgårdens IF,Italy
Defense,72,12162.0,28,183,73,Club de Foot Montréal,Honduras
Defense,64,3946.0,26,183,58,Atlético Nacional,Ecuador
Defense,66,6777.0,27,180,78,Toronto FC,Argentina
Offense,72,33082.0,24,187,84,Patronato,Denmark
