position,overall,wage_eur,age,height_cm,weight_kg,club_name,nationality_name
Midfield,71,290.09947967529297,23,172,66,FBC Melgar,Kyrgyzstan
Offense,75,64456.079261779785,29,177,72,FBC Melgar,Brazil
Midfield,71,299.8789825439453,23,175,72,Nottingham Forest,Brazil
Midfield,75,12083.35262298584,29,172,72,FBC Melgar,Brazil
Midfield,65,279.5707092285156,23,181,72,KV Oostende,Guinea Bissau
Midfield,71,374.7901306152344,23,181,72,Angers SCO,Brazil
Offense,75,61774.5754776001,29,172,72,FBC Melgar,Brazil
Midfield,75,508.2768325805664,23,172,73,FBC Melgar,Turkey
Midfield,56,296.46044921875,20,172,83,SD Ponferradina,Guinea Bissau
GoalKeeper,54,370.8564758300781,20,172,72,Al Ittihad,Brazil
Midfield,66,268.35511016845703,22,172,72,KV Oostende,Argentina
Midfield,71,318.2594528198242,23,172,72,Club Deportivo Guabirá,Serbia
Midfield,52,278.8058319091797,23,172,72,Chicago Fire Football Club,Brazil
Offense,75,27746.14353942871,29,177,72,FBC Melgar,Brazil
Defense,60,504.6007385253906,17,177,72,FBC Melgar,Brazil
Midfield,58,1405.1813430786133,36,172,72,Club Deportivo Guabirá,Brazil
Midfield,71,408.1247329711914,23,172,72,FBC Melgar,Brazil
Midfield,52,976.7173614501953,23,172,82,St. Mirren,Brazil
Midfield,75,290.15411376953125,29,172,65,FBC Melgar,Brazil
Midfield,52,358.8057556152344,23,172,72,FBC Melgar,Guinea Bissau
Midfield,71,257.63902282714844,23,172,72,FBC Melgar,Brazil
Midfield,71,262.1190185546875,29,172,72,Club Deportivo Guabirá,Guinea Bissau
Midfield,71,259.0751190185547,23,172,72,FBC Melgar,Brazil
Offense,75,69144.64454650879,29,177,72,FBC Melgar,Brazil
Defense,66,268.47998809814453,17,172,72,St. Mirren,Chile
Midfield,66,339.45748138427734,23,181,72,KV Oostende,Guinea Bissau
Offense,75,162629.06270980835,29,177,72,Nottingham Forest,Brazil
Defense,71,410.48960876464844,20,181,72,Nottingham Forest,Brazil
Midfield,61,364.50331115722656,23,191,72,FBC Melgar,Brazil
Midfield,75,330.26334381103516,23,172,72,FBC Melgar,Brazil
Midfield,60,330.2321243286133,23,180,72,Willem II,Brazil
Midfield,75,635.7225646972656,23,177,72,FBC Melgar,Brazil
Offense,75,710.5088348388672,29,172,72,FBC Melgar,Brazil
