position,overall,wage_eur,age,height_cm,weight_kg,club_name,nationality_name
Defense,74,34908.0,26,183,76,Salford City,Germany
Defense,64,500.0,25,179,72,Belenenses SAD,Germany
Offense,72,2734.0,25,187,79,Middlesbrough,England
Defense,81,19048.0,36,189,86,Newcastle United,Japan
Defense,63,9155.0,29,189,85,Cracovia,Uruguay
Defense,57,500.0,26,192,86,Macarthur FC,Republic of Ireland
Midfield,66,500.0,24,180,72,Tranmere Rovers,Germany
Defense,61,1251.0,17,180,79,1. FC Saarbrücken,Denmark
Midfield,60,500.0,19,178,72,U.C. Sampdoria,Japan
Offense,62,500.0,26,174,65,Real Betis Balompié,Guam
Offense,76,44339.0,27,182,81,Manchester United,Italy
Defense,64,7470.0,30,192,76,PAOK,Republic of Ireland
Midfield,69,500.0,20,183,77,Club Sporting Cristal,Republic of Ireland
Defense,78,17350.0,18,178,67,Beşiktaş JK,Germany
Defense,79,36280.0,21,185,84,PAOK,England
Defense,64,37367.0,16,192,86,Deportivo Cali,France
Defense,81,49924.0,26,174,62,Al Hazem,Italy
Defense,64,500.0,30,170,69,Fatih Karagümrük S.K.,France
Defense,64,14106.0,27,181,76,Djurgårdens IF,Uruguay
Defense,85,17676.0,32,179,74,ATK Mohun Bagan FC,Republic of Ireland
Midfield,69,34419.0,26,197,85,Montpellier Hérault SC,Belgium
GoalKeeper,76,14127.0,23,174,74,AZ Alkmaar,Nigeria
Defense,61,6304.0,26,182,74,Clube Atlético Mineiro,Guam
Defense,58,500.0,23,177,77,West Ham United,Australia
Offense,59,500.0,22,175,72,AD Alcorcón,Germany
Midfield,82,59685.0,32,187,89,Arsenal,Algeria
Midfield,59,500.0,25,184,68,Club Sporting Cristal,Poland
Offense,67,19358.0,31,180,74,Wycombe Wanderers,Japan
Midfield,67,23667.0,29,179,75,FC Barcelona,Argentina
GoalKeeper,77,32048.0,26,173,76,Gaz Metan Mediaş,Austria
Defense,67,23424.0,21,174,77,Blackburn Rovers,Azerbaijan
Defense,73,29032.0,27,173,62,SønderjyskE,Romania
Defense,63,500.0,29,180,71,Spartak Moskva,England
Defense,74,894.0,33,181,85,Lecce,Japan
Defense,67,10470.0,25,189,80,Ferencvárosi TC,China PR
Defense,56,500.0,22,183,82,SC Paderborn 07,Romania
Defense,71,16864.0,31,181,78,Standard de Liège,England
Midfield,66,500.0,25,179,76,Club Tijuana,Argentina
Defense,74,37647.0,28,173,70,Club Deportivo Guadalajara,Germany
GoalKeeper,66,500.0,27,182,75,Club Atlético Nacional Potosí,England
Offense,56,10902.0,27,174,68,Sagan Tosu,Paraguay
Defense,58,1669.0,16,170,66,Al Ittihad,Republic of Ireland
Defense,65,500.0,26,174,64,SK Sturm Graz,Germany
Offense,66,20403.0,19,173,75,Grasshopper Club Zürich,England
Midfield,63,500.0,20,174,67,CF Fuenlabrada,Italy
Defense,63,500.0,26,173,66,Liverpool,England
Midfield,62,5138.0,25,178,72,Club Social y Deportivo Macará,Switzerland
GoalKeeper,47,500.0,19,184,78,Incheon United FC,China PR
Midfield,69,17348.0,25,184,76,Vitória de Guimarães,Japan
Offense,61,500.0,24,189,82,En Avant de Guingamp,Austria
Defense,77,51550.0,27,167,60,Zagłębie Lubin,South Africa
Midfield,74,37913.0,25,174,69,Aarhus GF,Poland
GoalKeeper,64,500.0,28,180,72,1. FC Nürnberg,Germany
Midfield,75,500.0,37,178,80,Mazatlán Futbol Club,Italy
GoalKeeper,77,50877.0,33,193,89,Lecce,Germany
Midfield,56,500.0,28,172,71,SV Zulte Waregem,Germany
Midfield,77,21800.0,32,193,82,Stade Malherbe Caen,England
Offense,70,500.0,26,186,78,AC Mineros de Guayana,Italy
Midfield,79,39150.0,36,203,98,FC Seoul,United States
Defense,75,45415.0,29,188,75,Odisha FC,England
Midfield,56,500.0,23,179,76,Wisła Płock,Austria
Midfield,60,500.0,21,174,75,Deportivo Toluca,France
Midfield,67,16843.0,31,184,81,Henan Songshan Longmen FC,Germany
Defense,63,500.0,16,172,59,Raków Częstochowa,Cameroon
Offense,68,24217.0,31,195,85,Sheffield United,Japan
Defense,67,5371.0,28,175,71,Cheltenham Town,Germany
Midfield,53,500.0,23,187,83,Manchester City,Guam
Midfield,65,500.0,30,184,81,Olympique Lyonnais,Mexico
Defense,78,46465.0,29,193,85,Port Vale,Portugal
Defense,69,8659.0,26,178,74,Brøndby IF,England
Defense,78,39311.0,34,184,81,Hull City,Brazil
Defense,58,500.0,20,185,83,Hallescher FC,Saudi Arabia
Midfield,61,5950.0,26,171,73,AS Nancy Lorraine,Venezuela
GoalKeeper,69,16190.0,23,172,69,Club Atlético Central Córdoba,Germany
Offense,71,49459.0,28,184,69,FC Utrecht,Germany
Defense,65,500.0,22,168,63,Viktoria Köln,Romania
Defense,74,42132.0,19,185,78,Athletic Club de Bilbao,France
Midfield,57,500.0,27,178,65,Belenenses SAD,Ukraine
Defense,54,500.0,21,187,82,Qingdao FC,Guam
Defense,77,29057.0,35,180,71,Club Sporting Cristal,Romania
Midfield,70,13634.0,30,181,70,Newell's Old Boys,Japan
Defense,67,29348.0,30,173,69,Heracles Almelo,Germany
Midfield,54,500.0,21,173,69,Parma,Brazil
Defense,71,31754.0,24,176,72,Urawa Red Diamonds,England
Defense,74,500.0,30,179,74,Club Atlético Banfield,India
Defense,64,19743.0,24,174,68,FC Goa,France
Midfield,77,4393.0,23,183,69,Śląsk Wrocław,Sweden
Defense,74,10373.0,32,184,77,Seongnam FC,China PR
GoalKeeper,70,19538.0,22,189,87,Fortuna Düsseldorf,Czech Republic
GoalKeeper,60,13870.0,19,179,74,SC Cambuur,Italy
Midfield,68,16325.0,24,183,67,Carlisle United,Spain
GoalKeeper,63,500.0,21,178,78,Newport County,Brazil
Defense,63,1179.0,21,181,77,Mansfield Town,Italy
Defense,66,500.0,20,170,73,Orlando City Soccer Club,England
Midfield,69,10373.0,32,188,79,FC Midtjylland,Venezuela
Defense,51,500.0,21,175,74,AC Monza,Guam
Defense,55,500.0,23,188,72,Club Atlético de San Luis,Republic of Ireland
Midfield,64,38073.0,20,186,86,Grasshopper Club Zürich,Republic of Ireland
Defense,67,4342.0,28,186,81,Santos,Turkey
Offense,72,4641.0,31,186,79,Campionii FC Arges,Germany
Defense,67,500.0,30,176,67,FK Austria Wien,Spain
Midfield,57,500.0,24,177,75,MSV Duisburg,England
Offense,70,39626.0,24,196,87,Everton,China PR
Offense,78,35825.0,33,184,79,Grêmio,Netherlands
Midfield,66,500.0,30,177,67,Brøndby IF,Korea Republic
Defense,61,500.0,27,187,88,Peterborough United,Germany
Defense,60,500.0,16,175,77,Inter Miami CF,Belgium
Defense,60,21486.0,21,183,76,Real Madrid CF,Australia
Offense,56,500.0,18,186,83,Aberdeen,Congo DR
Offense,61,5087.0,28,175,71,Olympique Lyonnais,Italy
Defense,64,15815.0,27,186,83,Club River Plate Asunción,Brazil
Midfield,69,33928.0,20,180,82,FSV Zwickau,France
Midfield,52,500.0,18,171,70,Lecce,Morocco
Defense,70,500.0,26,183,73,N.E.C. Nijmegen,Poland
Midfield,62,500.0,20,178,80,Shandong Taishan,United States
Midfield,83,50487.0,28,184,80,Fenerbahçe SK,Russia
Defense,65,500.0,28,175,68,Austin FC,Korea Republic
Defense,65,500.0,24,180,76,Atalanta,Guam
Defense,71,16878.0,23,177,71,Club Sporting Cristal,England
Defense,69,17635.0,19,173,67,Club de Foot Montréal,Austria
Defense,72,30195.0,25,178,65,Club Social y Deportivo Macará,Mexico
Defense,63,500.0,27,176,75,RKC Waalwijk,Portugal
GoalKeeper,69,31754.0,21,183,71,Mansfield Town,Chile
Defense,69,19158.0,27,179,71,Spartak Moskva,France
Defense,63,31832.0,23,179,74,Hibernian,Argentina
Midfield,65,500.0,23,179,74,Deportivo La Guaira FC,Germany
GoalKeeper,65,15930.0,25,196,87,SD Ponferradina,Uruguay
Midfield,73,27483.0,31,187,84,Jeju United FC,Guam
Defense,65,500.0,25,189,81,Club Sporting Cristal,Saudi Arabia
Midfield,66,19254.0,26,177,70,Club León,Japan
GoalKeeper,67,500.0,32,181,77,Blackpool,Spain
GoalKeeper,65,500.0,33,184,82,TSG Hoffenheim,Guam
Defense,59,16286.0,21,187,82,IFK Norrköping,Guam
Midfield,64,500.0,28,183,85,Minnesota United FC,France
Defense,69,9063.0,18,180,74,FC Cartagena,Germany
Offense,67,11316.0,24,194,82,Hellas Verona,Colombia
Offense,73,26707.0,27,194,84,Club Sporting Cristal,Guam
Midfield,50,6505.0,19,180,68,SC Rheindorf Altach,Spain
Midfield,72,10340.0,23,178,65,TSV Havelse,Romania
GoalKeeper,58,500.0,24,187,84,FC Vizela,England
Offense,69,37236.0,22,187,72,CD Lugo,Côte d'Ivoire
Midfield,69,10084.0,28,199,86,Venezia FC,Colombia
Midfield,66,500.0,28,184,75,Beşiktaş JK,France
Midfield,75,25594.0,27,184,82,Angers SCO,Korea Republic
GoalKeeper,62,10790.0,20,178,74,FC Arouca,England
Defense,62,1973.0,28,172,66,PSV,Germany
Midfield,65,500.0,22,175,69,Al Nassr,Scotland
Midfield,66,18311.0,23,179,75,Odense Boldklub,England
Defense,56,500.0,21,174,74,Al Raed,Japan
Offense,73,31582.0,28,185,87,Sagan Tosu,Brazil
GoalKeeper,62,17436.0,24,182,70,Shamrock Rovers,Romania
Midfield,80,47315.0,39,185,86,Club Libertad,Nigeria
Defense,72,8849.0,18,176,70,KRC Genk,Guam
Midfield,66,500.0,18,178,65,RB Bragantino,Korea Republic
Offense,64,2248.0,22,189,88,AJ Auxerre,Germany
Offense,59,500.0,29,191,77,Suwon Samsung Bluewings,Italy
Offense,72,27284.0,23,195,87,Wycombe Wanderers,England
Defense,61,500.0,28,184,76,Ipswich Town,Poland
Midfield,68,500.0,29,185,80,St. Johnstone FC,Sweden
Defense,51,500.0,17,181,76,Girona FC,Poland
Offense,52,500.0,23,184,78,SK Sturm Graz,Portugal
Defense,63,31059.0,22,185,76,FC Luzern,Korea Republic
Defense,68,18468.0,26,175,74,LDU Quito,Thailand
Defense,58,500.0,23,181,77,TSG Hoffenheim,Germany
Defense,59,500.0,25,176,75,Queens Park Rangers,Germany
Defense,76,27318.0,29,186,78,AZ Alkmaar,Republic of Ireland
Defense,61,3433.0,21,167,58,Yukatel Kayserispor,Germany
Offense,51,1997.0,17,178,64,FC Academica Clinceni,Czech Republic
Defense,56,500.0,22,177,71,Tottenham Hotspur,Republic of Ireland
Midfield,65,12105.0,24,185,79,Atakaş Hatayspor,England
Defense,68,500.0,31,170,66,Club Deportivo Guabirá,France
Defense,48,500.0,27,182,65,Dalian Professional Football Club,Argentina
GoalKeeper,71,27878.0,27,167,67,SC Heerenveen,Italy
Offense,62,500.0,26,193,82,Bologna,England
Midfield,68,500.0,18,172,65,Sevilla FC,Japan
Offense,67,4240.0,25,179,66,FC Vizela,China PR
Defense,67,500.0,32,182,82,CD Tenerife,Saudi Arabia
Defense,65,16785.0,23,196,87,Silkeborg IF,Brazil
Defense,67,500.0,27,180,76,Aragua Fútbol Club,Nigeria
Defense,61,500.0,34,173,66,Malmö FF,Poland
Defense,65,44494.0,28,191,87,Al Taawoun,Germany
Midfield,64,5088.0,26,174,64,Rosenborg BK,England
Midfield,69,16728.0,20,188,89,FC Porto,Sweden
Defense,66,15181.0,23,176,57,CA Osasuna,France
Midfield,74,32450.0,25,171,69,Gamba Osaka,Switzerland
GoalKeeper,68,12470.0,34,185,74,Crawley Town,Guam
Midfield,68,21041.0,22,191,75,SC Paderborn 07,Senegal
Midfield,85,50428.0,29,177,68,San Jose Earthquakes,Norway
Defense,64,500.0,18,175,75,Club Sporting Cristal,Guam
Midfield,59,500.0,22,183,74,Roma,United States
GoalKeeper,64,22437.0,19,186,81,CD Mirandés,England
Defense,66,1521.0,23,178,66,Cádiz CF,Netherlands
Offense,74,27797.0,21,178,75,Al Raed,Sweden
Midfield,66,27682.0,29,176,69,Club Atlético Huracán,Japan
