position,overall,wage_eur,age,height_cm,weight_kg,club_name,nationality_name
Midfield,80,9000.0,18,175,72,Norwich City,Spain
Defense,66,950.0,21,180,72,Guangzhou City,Chad
Defense,67,140000.0,22,195,104,Eintracht Braunschweig,Armenia
Midfield,52,21000.0,31,190,87,FC Cartagena,Madagascar
Midfield,84,28000.0,34,172,68,Levante Unión Deportiva,Congo
Offense,61,35000.0,34,186,73,FC Lokomotiv Moscow,Republic of Ireland
Midfield,47,90000.0,29,193,75,Vitesse,Burundi
Midfield,60,53000.0,32,184,79,Wisła Płock,Germany
Offense,84,120000.0,26,176,69,SV Ried,Colombia
Offense,55,7000.0,30,185,84,Borussia Dortmund II,Luxembourg
Offense,70,180000.0,23,174,70,Galatasaray SK,Congo DR
Offense,82,170000.0,20,178,72,Rayo Vallecano,Saint Kitts and Nevis
GoalKeeper,91,84000.0,18,192,80,Silkeborg IF,Republic of Ireland
Defense,65,95000.0,25,173,64,RSC Anderlecht,England
GoalKeeper,68,150000.0,35,195,92,Universitatea Craiova,Kenya
Offense,72,61000.0,22,181,70,İttifak Holding Konyaspor,Sudan
Midfield,57,950.0,31,189,93,Nîmes Olympique,Mauritius
Midfield,78,55000.0,27,189,70,Viborg FF,England
Offense,67,64000.0,19,183,72,FK Bodø/Glimt,Comoros
GoalKeeper,60,25000.0,24,175,70,Genoa,Ecuador
GoalKeeper,78,13000.0,19,177,74,HJK Helsinki,Saudi Arabia
Midfield,82,190000.0,33,182,77,Hertha BSC,Uruguay
Defense,69,16000.0,20,177,78,U.S. Sassuolo Calcio,Grenada
GoalKeeper,88,34000.0,33,178,72,Hajduk Split,Namibia
Midfield,93,37000.0,22,177,72,Kawasaki Frontale,Japan
Offense,89,69000.0,17,174,69,Willem II,Trinidad and Tobago
Defense,84,54000.0,31,189,79,Middlesbrough,Canada
Offense,59,33000.0,32,183,77,Örebro SK,Spain
Offense,51,88000.0,24,176,70,Randers FC,Luxembourg
Offense,48,40000.0,18,184,86,Warta Poznań,Saudi Arabia
Offense,89,64000.0,25,177,74,Odds BK,Congo
Midfield,72,220000.0,22,178,78,Atalanta,South Africa
Offense,55,13000.0,21,187,94,Mansfield Town,Antigua and Barbuda
GoalKeeper,48,120000.0,20,174,65,SV Meppen,Greece
Offense,61,140000.0,17,192,81,K Beerschot VA,Uzbekistan
Defense,72,15000.0,23,188,79,AS Monaco,Gibraltar
Midfield,59,1000.0,24,188,75,FC Viktoria 1889 Berlin,Italy
GoalKeeper,81,900.0,19,183,68,Borussia Dortmund,Russia
Defense,48,89000.0,22,170,69,Avispa Fukuoka,Denmark
Midfield,63,110000.0,34,171,69,Forest Green Rovers,Latvia
Defense,79,58000.0,31,175,70,Puebla FC,England
Midfield,88,85000.0,27,188,90,Antalyaspor,Sudan
Offense,82,165000.0,37,184,78,Olympique Lyonnais,Costa Rica
Defense,55,61000.0,26,188,86,Degerfors IF,Senegal
GoalKeeper,93,35000.0,26,177,74,FK Austria Wien,Finland
GoalKeeper,51,77000.0,33,174,65,FC Porto,Jamaica
Defense,74,190000.0,18,176,74,Real Madrid CF,Cuba
